id,q_id,q_content,a_score,a_id,match,a_content,a_publish_date
1,1,三大运营商如何让利给消费者,52.93221,182,1,三大运营商2018年流量降价62.8%：均价8元/G，2019年三大运营商目标：要让利1800亿元给消费者,2019/3/23
2,1,三大运营商如何让利给消费者,30.91453,14452,0,三大运营商股价集体拉升,2021/1/6
3,1,三大运营商如何让利给消费者,28.2496,5338,0,用户可到三大运营商指定营业厅办理,2019/11/11
4,1,三大运营商如何让利给消费者,27.082312,1643,0,三大电信运营商公布首批5G城市名单,2019/6/7
5,1,三大运营商如何让利给消费者,27.082312,3422,0,日本三大移动通信运营商均已重启华为手机销售,2019/8/21
6,1,三大运营商如何让利给消费者,26.534107,1363,0,日本三大运营商推迟华为P30系列手机上市,2019/5/23
7,1,三大运营商如何让利给消费者,25.609554,3469,0,工信部回应“网传4G降速”：从未要求运营商降速，要求三大运营商自查是否对4G降速,2019/8/23
8,1,三大运营商如何让利给消费者,25.501696,3495,0,三大运营商上半年净利768亿元，日均赚4.24亿,2019/8/24
9,1,三大运营商如何让利给消费者,25.01504,421,0,韩国三大电信运营商4月5日启动5G手机服务,2019/4/4
10,1,三大运营商如何让利给消费者,25.01504,9310,1,三大运营商平均流量资费降至5元/GB：人均月话费低于50元,2020/5/4
11,1,三大运营商如何让利给消费者,24.54661,4691,0,全国范围内三大运营商携号转网将于11月底实现,2019/10/14
12,1,三大运营商如何让利给消费者,23.944195,6830,0,1月14日，华为开启新一轮组织架构调整：“Cloud&AI”BG升至华为第四大BG（独立子业务集团），与运营商BG、消费者BG以及企业BG属于同一级别,2020/1/15
13,1,三大运营商如何让利给消费者,23.660484,8597,0,4月1日，美第三第四大运营商合体：T-Mobile吞并Sprint,2020/4/3
14,1,三大运营商如何让利给消费者,23.660484,9038,0,中国三大运营商5G覆盖珠峰，海拔6500米将开通5G基站,2020/4/22
15,1,三大运营商如何让利给消费者,22.445091,5782,0,三大运营商12月1日起正式执行新规：办手机号将全面实施人像比对,2019/12/1
16,1,三大运营商如何让利给消费者,22.114319,3469,0,4G网络激增1倍压力大，将指导运营商扩容升级,2019/8/23
17,1,三大运营商如何让利给消费者,21.557266,815,0,有报道称，华为CNBG（运营商业务）将有2万员工疏导至华为CBG（消费者业务），余承东回应：不可能消化那么多,2019/4/25
18,1,三大运营商如何让利给消费者,21.34846,4411,1,三大运营商延长5G体验套餐：月送流量100G、网速1Gbps，延期至10月31日,2019/10/2
19,1,三大运营商如何让利给消费者,21.286095,7814,0,美国四大移动运营商出售用户位置数据，面临至少2亿美元罚款,2020/2/29
20,1,三大运营商如何让利给消费者,21.00635,10679,0,7月2日，中移互联网庄仁峰：三大运营商已启动5G消息商业化平台建设,2020/7/3
21,1,三大运营商如何让利给消费者,20.67503,236,0,三大运营商2019年5G投资预算超300亿元，由NSA向SA过渡，中国5G路径日渐清晰,2019/3/25
22,1,三大运营商如何让利给消费者,20.613918,570,0,三星：已向韩国运营商提供超5万个5G基站,2019/4/12
23,1,三大运营商如何让利给消费者,20.353998,9094,0,4月24日晚，中兴通讯业绩通报：一季度营收近215亿，规模中标三大运营商5G项目,2020/4/25
24,1,三大运营商如何让利给消费者,20.222715,4500,0,美四大运营商推出统一身份认证，不仅使用您的电话号码，还使用您的运营商帐户期限、手机帐户类型和SIM卡来验证您的身份，APP密码可以丢掉了,2019/10/6
25,1,三大运营商如何让利给消费者,19.72381,15274,0,消费者：厂商已道歉并赔偿,2021/3/3
26,1,三大运营商如何让利给消费者,19.527012,4432,0,美国运营商Verizon收购了Jaunt，加码增强现实,2019/10/3
27,1,三大运营商如何让利给消费者,18.972424,15884,0,北斗卫星终端服务商详解运行原理：与手机运营商服务类似,2021/4/9
28,1,三大运营商如何让利给消费者,18.807686,17817,0,其中，运营商业务收入为1369亿元人民币，企业业务收入为429亿元人民币，消费者业务收入为1357亿元人民币,2021/8/7
29,1,三大运营商如何让利给消费者,18.496124,14452,0,当地时间1月4日，纽交所：不会要求中国三家电信运营商退市,2021/1/6
30,1,三大运营商如何让利给消费者,18.329882,2697,0,近日，企业资讯服务企业天眼查运营商将其对手企查查运营商诉至法院，要求其立即停止侵权并赔偿经济损失520.45万元，海淀法院已受理此案,2019/7/21
31,1,三大运营商如何让利给消费者,17.977314,3470,0,愿意与包括中国移动在内的其他运营商进行谈判,2019/8/23
32,1,三大运营商如何让利给消费者,17.977314,6350,0,工信部向四家运营商核发190、197、196、192号段,2019/12/25
33,2,晋城凤兰学校为何高中招生资格被停,67.646355,183,1,因违规招生，造成数百名学生学籍“失踪”的晋城凤兰学校，今年高中招生资格被停,2019/3/23
34,2,晋城凤兰学校为何高中招生资格被停,15.525913,15740,0,加强县域高中建设，坚决制止违规跨区域掐尖招生行为,2021/4/1
35,2,晋城凤兰学校为何高中招生资格被停,15.439179,395,0,2019年，全国共90所试点高校有自主招生资格,2019/4/3
36,2,晋城凤兰学校为何高中招生资格被停,13.281895,3972,0,重庆公办中小学不得新参与举办民办学校，不得混合招生,2019/9/14
37,2,晋城凤兰学校为何高中招生资格被停,12.404213,10275,0,6月15日，人社部：将推动扩大今年技工院校招生规模，今年全国技工院校计划招生130万人，其中招收建档立卡贫困家庭学生不少于3万人，技师学院扩招10万人,2020/6/16
38,2,晋城凤兰学校为何高中招生资格被停,12.269274,17377,0,近日，云南丽江华坪女子高中宣布，面向全国招聘学校急需的高中语文、数学、英语等各科目共18名教师，校长张桂梅将亲自面试,2021/7/14
39,2,晋城凤兰学校为何高中招生资格被停,12.268467,8141,0,南美12国全部“中招”,2020/3/15
40,2,晋城凤兰学校为何高中招生资格被停,12.17885,3386,0,江苏省教育厅宣布：明年秋季学期开始，报名人数超过计划招生人数的民办学校，将全面采取“电脑摇号”招生,2019/8/20
41,2,晋城凤兰学校为何高中招生资格被停,12.060349,13813,0,11月27日，武汉理工大学：决定不予通过教师王攀的硕士研究生招生资格,2020/11/28
42,2,晋城凤兰学校为何高中招生资格被停,11.400456,8451,0,截至目前，全球至少76名政要“中招”,2020/3/28
43,2,晋城凤兰学校为何高中招生资格被停,11.036769,144,0,江苏2学校挪用学生餐费被通报，负责人被立案调查,2019/3/21
44,2,晋城凤兰学校为何高中招生资格被停,11.026037,958,0,不听劝强登扒乘致列车紧急刹停，男子被拘留10天,2019/5/2
45,2,晋城凤兰学校为何高中招生资格被停,10.907499,5913,0,华为回应美国首席律师被取消代理资格：失望，新团队已经组建,2019/12/6
46,2,晋城凤兰学校为何高中招生资格被停,10.834358,10946,0,近日，陕西理工大学教师王勇在大巴山区考察时发现一兰科山兰属植物新种，随后被命名为巴山山兰,2020/7/16
47,2,晋城凤兰学校为何高中招生资格被停,10.524712,2758,0,7月23日下午，金安区教育局介入“毛坦厂中学上海招生”项目，系金安高中和上海麦时坚公司自主发布信息，其涉嫌虚假宣,2019/7/24
48,2,晋城凤兰学校为何高中招生资格被停,10.3458,1846,0,近日，山西临汾高中生被醉驾奥迪撞骨折却判同责？ 三协警涉徇私枉法被立案侦查,2019/6/16
49,2,晋城凤兰学校为何高中招生资格被停,10.270901,17316,0,澳门特区：21人因不拥护基本法和效忠特区被取消参选资格,2021/7/10
50,2,晋城凤兰学校为何高中招生资格被停,10.210414,2549,0,“初一女生遭老师辱骂”：老师被记过处分，教师资格被撤销，已被立案,2019/7/15
51,2,晋城凤兰学校为何高中招生资格被停,9.533236,16593,0,财政部日前下达2021年改善普通高中学校办学条件补助资金预算10.92亿元，此前已提前下达53.28亿元，共计64.2亿元,2021/5/26
52,2,晋城凤兰学校为何高中招生资格被停,9.5293455,11288,0,7月30日，黄之锋等12名乱港分子被取消香港立法会参选资格,2020/7/31
53,2,晋城凤兰学校为何高中招生资格被停,9.429955,4356,0,致敬：于敏、申纪兰、孙家栋、李延年、张富清、袁隆平、黄旭华、屠呦呦被授予“共和国勋章”,2019/9/30
54,2,晋城凤兰学校为何高中招生资格被停,9.410397,10061,0,《科学》：男性面对新冠为何更脆弱？雄激素可能成病毒帮凶,2020/6/6
